,steps,numpy,base
0,3,6.706835717652991e-06,4.291642861582139e-07
1,5,2.441725716510388e-06,6.954542862201508e-07
2,7,2.6324000022473876e-06,1.0000514261524326e-06
3,9,2.9647757141252183e-06,1.2549314227986283e-06
4,11,3.010519997457907e-06,1.6033285724656056e-06
5,13,3.183924288480609e-06,1.866480002458307e-06
6,15,3.3442457112999234e-06,2.083811427188006e-06
7,17,3.5086485695501323e-06,3.2226000023781253e-06
8,19,6.230712855800188e-06,4.942497143929359e-06
9,21,4.016765716577149e-06,2.855812854249962e-06
10,23,6.099194285655228e-06,3.256237144211939e-06
11,25,4.338187146848733e-06,3.858325710877709e-06
12,27,6.9380499969286446e-06,3.6970142848856213e-06
13,29,4.620757138452194e-06,3.9719599979954576e-06
14,31,5.6828485685400665e-06,4.300724285712932e-06
15,33,7.688554284998515e-06,4.820710000785766e-06
16,35,7.068485714886005e-06,4.554315715462768e-06
17,37,7.930218572645182e-06,5.1500971416576895e-06
18,39,1.0813510000714033e-05,6.018177144661812e-06
19,41,6.392712860230989e-06,6.032978570666663e-06
20,43,6.20002999962058e-06,5.807848569280136e-06
21,45,6.007300001199058e-06,5.791451429623911e-06
22,47,5.635012855366637e-06,5.526511423730491e-06
23,49,5.465111436413801e-06,5.3025442892768685e-06
24,51,5.284630005917279e-06,5.235151428288581e-06
25,53,9.488308566817849e-06,6.656477141534976e-06
26,55,1.0199609995262498e-05,7.75627714964295e-06
27,57,9.567611427233454e-06,7.776351428349569e-06
28,59,9.851402852031503e-06,8.482391432543018e-06
29,61,6.794472849703327e-06,7.679818575395205e-06
30,63,7.232882856312374e-06,7.474734286785991e-06
31,65,7.008028566945411e-06,7.242297139912678e-06
32,67,6.757282860365064e-06,6.981882860210524e-06
33,69,1.141277142648635e-05,9.61631571304419e-06
34,71,1.1651725713558596e-05,1.0885849998365821e-05
35,73,1.3829121424870598e-05,9.69273714092976e-06
36,75,8.184285712299502e-06,8.76501571058595e-06
37,77,8.304907140492495e-06,9.624152852276373e-06
38,79,8.42351856980323e-06,8.934508576723083e-06
39,81,1.0041622858157747e-05,9.051882854172228e-06
40,83,1.1113041429260713e-05,1.2178115710932095e-05
41,85,1.1131301432344895e-05,1.0120649998758122e-05
42,87,9.889638567983638e-06,9.863205712982952e-06
43,89,9.825848571511284e-06,1.0176195711600094e-05
44,91,9.98686571100344e-06,1.0235052858271438e-05
45,93,9.36513857076144e-06,9.874847141223394e-06
46,95,8.172609998707361e-06,9.765644291681903e-06
47,97,1.3256287145070797e-05,1.2129197142972511e-05
48,99,1.4436522856807902e-05,1.4405537141491161e-05
49,101,1.184899428283513e-05,1.3831792855073999e-05
50,103,1.0325720000504848e-05,1.2021238573132516e-05
51,105,9.274328570297387e-06,1.2309211428406082e-05
52,107,9.577614281235062e-06,1.1953772856421504e-05
53,109,9.211802857212856e-06,1.132229857051113e-05
54,111,1.583265285392242e-05,1.4891767142606633e-05
55,113,1.5000332854729744e-05,1.4835405719557977e-05
56,115,1.2885188573688668e-05,1.4563021426770969e-05
57,117,1.2353422859762627e-05,1.4019707138816428e-05
58,119,1.0859697140404024e-05,1.2739647146580476e-05
59,121,9.918131425885283e-06,1.2502751430604672e-05
60,123,9.95049714349859e-06,1.273392857651093e-05
61,125,1.562536285616391e-05,1.8117735715869848e-05
62,127,1.433912285522508e-05,1.7251192860255416e-05
63,129,1.4582512857097234e-05,1.7085659996415155e-05
64,131,1.1745939999465398e-05,1.4908504285163612e-05
65,133,1.1151374284444111e-05,1.4020151426978244e-05
66,135,1.0897602860495681e-05,1.4015875713084823e-05
67,137,1.6997018569132445e-05,2.0621234289137646e-05
68,139,1.815301000013798e-05,2.043880571363843e-05
69,141,1.4613378571084468e-05,1.6486669995044526e-05
70,143,1.1891655711744013e-05,2.0324934284872144e-05
71,145,1.2095339994370338e-05,1.58450300036098e-05
72,147,1.1963514280068921e-05,1.5374409997873175e-05
73,149,1.7775788575298585e-05,1.9118478571077243e-05
74,151,1.9859294284937538e-05,1.9891961432482014e-05
75,153,1.3829515711612267e-05,1.903418285499876e-05
76,155,1.493533142430741e-05,1.878712856913418e-05
77,157,1.3532898574339924e-05,1.6767545717552172e-05
78,159,1.9597931428247e-05,2.363396285415677e-05
79,161,2.242313857485507e-05,2.3675399999254815e-05
80,163,1.79794128546616e-05,2.010746999855785e-05
81,165,1.4260451425798237e-05,1.7373425715569673e-05
82,167,1.3104265713731627e-05,1.7346658564097847e-05
83,169,1.9394229995149154e-05,2.3819105717848287e-05
84,171,1.8602890000433295e-05,2.090362571574847e-05
85,173,1.8227094283897066e-05,2.1295039995103643e-05
86,175,1.5152635714912322e-05,1.8934632857313512e-05
87,177,1.3750379998132953e-05,1.8646988571293016e-05
88,179,1.9315207144765215e-05,2.91267414286267e-05
89,181,2.7608028571454007e-05,2.3033064291147246e-05
90,183,1.5455669999937526e-05,1.9497367146479e-05
91,185,1.435851857032893e-05,2.04445700001088e-05
92,187,1.5483245715586235e-05,2.0224324281506207e-05
93,189,5.071153571407194e-05,2.4180428569837075e-05
94,191,1.8338875709430015e-05,3.027069571804272e-05
95,193,1.771371142240241e-05,2.2993064288000045e-05
96,195,1.5096318568664304e-05,2.0641524284396185e-05
97,197,5.130726000061259e-05,2.7840275717088454e-05
98,199,1.924032285647367e-05,3.185912999989731e-05
99,201,1.8779995708817817e-05,2.2923251430516497e-05
100,203,1.5913801427294467e-05,2.125429428425767e-05
101,205,5.037795000004864e-05,2.6496495710099615e-05
102,207,1.9996647144060785e-05,2.691898428695692e-05
103,209,1.9377914289049967e-05,2.4165035715019e-05
104,211,1.647489714222112e-05,2.2143227142805698e-05
105,213,2.3882275716979554e-05,3.2166154284953205e-05
106,215,2.453007429202054e-05,2.645435285428123e-05
107,217,1.929504142805984e-05,2.69048171477542e-05
108,219,2.1505762857226988e-05,2.9924125712048925e-05
109,221,2.714637714494269e-05,4.4603312856322324e-05
110,223,3.5529037140804577e-05,3.5774339997130615e-05
111,225,2.5795217144540013e-05,4.125180428673048e-05
112,227,5.574808714040306e-05,3.082074713737321e-05
113,229,2.7575601426568547e-05,2.755081856906015e-05
114,231,1.783346571495973e-05,2.4170955717376533e-05
115,233,2.355201999827321e-05,3.34233400021081e-05
116,235,2.2417771425742623e-05,2.9298614283886436e-05
117,237,2.140530714054226e-05,2.631033571170909e-05
118,239,2.498316000388253e-05,3.3600484286060754e-05
119,241,2.0715551428500993e-05,2.6643485712806325e-05
120,243,2.0595821429846443e-05,2.5899389999852116e-05
121,245,2.532475714490699e-05,3.499697570857409e-05
122,247,2.6636034282481497e-05,3.126331571755665e-05
123,249,2.275957570288613e-05,2.7517354285789356e-05
124,251,2.787146857372136e-05,3.489947857035856e-05
